carat,cut,color,clarity,depth,table,price,x,y,z,price_inr,volume,price_per_carat,dimension_ratio,carat_category,cluster
1.2,Very Good,I,VS1,62.4,56.0,6167,6.78,6.74,4.22,524195.0,192.842184,5139.166666666667,1.6018957345971565,Medium,1
1.08,Very Good,G,VS2,62.0,57.0,6168,6.52,6.55,4.05,524280.0,172.95929999999998,5711.11111111111,1.6135802469135803,Medium,1
1.12,Ideal,E,SI2,61.6,56.0,6168,6.69,6.71,4.13,524280.0,185.39528700000002,5507.142857142857,1.6222760290556901,Medium,1
1.02,Very Good,G,VS2,63.4,59.0,6169,6.32,6.3,4.0,524365.0,159.264,6048.0392156862745,1.5775000000000001,Medium,1
1.2,Ideal,H,SI1,61.9,54.0,6169,6.8,6.86,4.23,524365.0,197.32104000000004,5140.833333333334,1.614657210401891,Medium,1
1.06,Very Good,E,SI1,59.8,56.0,6169,6.63,6.67,3.98,524365.0,176.00395799999998,5819.811320754717,1.670854271356784,Medium,1
1.02,Premium,G,VS2,62.7,58.0,6169,6.45,6.4,4.03,524365.0,166.35840000000002,6048.0392156862745,1.5942928039702233,Medium,1
1.02,Very Good,G,VS2,63.2,57.0,6169,6.41,6.38,4.04,524365.0,165.219032,6048.0392156862745,1.5829207920792079,Medium,1
1.02,Ideal,G,VS2,62.8,57.0,6169,6.46,6.41,4.04,524365.0,167.290744,6048.0392156862745,1.592821782178218,Medium,1
1.02,Premium,G,VS2,59.2,59.0,6169,6.66,6.58,3.92,524365.0,171.785376,6048.0392156862745,1.6887755102040818,Medium,1
1.02,Premium,G,VS2,62.1,59.0,6169,6.47,6.41,4.0,524365.0,165.89079999999998,6048.0392156862745,1.6099999999999999,Medium,1
1.02,Premium,G,VS2,60.5,54.0,6169,6.57,6.48,3.95,524365.0,168.16572000000002,6048.0392156862745,1.6518987341772151,Medium,1
1.02,Premium,G,VS2,59.8,58.0,6169,6.58,6.54,3.92,524365.0,168.690144,6048.0392156862745,1.6734693877551021,Medium,1
1.02,Ideal,G,VS2,61.9,53.0,6169,6.5,6.48,4.02,524365.0,169.3224,6048.0392156862745,1.6144278606965177,Medium,1
1.32,Premium,I,SI1,62.3,58.0,6171,6.98,7.01,4.36,524535.0,213.33392800000001,4675.0,1.6043577981651376,Medium,1
1.32,Premium,I,SI1,62.2,58.0,6171,6.99,7.04,4.36,524535.0,214.55385600000002,4675.0,1.6089449541284404,Medium,1
1.51,Very Good,J,SI2,63.2,58.0,6171,7.28,7.25,4.59,524535.0,242.2602,4086.754966887417,1.5827886710239654,Heavy,1
1.23,Premium,E,SI2,62.4,60.0,6172,6.82,6.78,4.24,524620.0,196.05590400000003,5017.886178861789,1.6037735849056605,Medium,1
1.51,Premium,I,SI2,61.3,55.0,6173,7.41,7.36,4.53,524705.0,247.05532800000003,4088.0794701986756,1.6302428256070638,Heavy,1
1.04,Ideal,G,VVS2,61.4,57.0,6173,6.52,6.44,3.98,524705.0,167.115424,5935.576923076923,1.628140703517588,Medium,1
1.05,Good,D,SI1,63.7,59.0,6174,6.42,6.38,4.08,524790.0,167.115168,5880.0,1.5686274509803921,Medium,1
1.05,Premium,D,SI1,59.3,58.0,6174,6.74,6.68,3.98,524790.0,179.192336,5880.0,1.685929648241206,Medium,1
1.28,Good,G,SI1,57.6,62.0,6175,7.17,7.13,4.12,524875.0,210.623052,4824.21875,1.7354368932038835,Medium,1
1.49,Ideal,F,I1,62.6,54.0,6175,7.31,7.28,4.57,524875.0,243.20077600000002,4144.295302013423,1.5962800875273522,Medium,1
1.38,Premium,J,VS2,60.2,59.0,6175,7.29,7.19,4.36,524875.0,228.52983600000002,4474.637681159421,1.6605504587155964,Medium,1
1.01,Good,D,VS2,64.2,60.0,6176,6.35,6.32,4.07,524960.0,163.33724,6114.851485148515,1.5565110565110565,Medium,1
1.01,Fair,D,VS2,65.6,61.0,6176,6.21,6.16,4.06,524960.0,155.30961599999998,6114.851485148515,1.5233990147783254,Medium,1
1.01,Premium,F,VS1,62.6,58.0,6176,6.48,6.37,4.02,524960.0,165.93595200000001,6114.851485148515,1.598258706467662,Medium,1
1.01,Ideal,G,VS1,62.9,57.0,6176,6.43,6.39,4.03,524960.0,165.583431,6114.851485148515,1.5905707196029777,Medium,1
1.01,Good,D,VS2,64.0,58.0,6176,6.3,6.24,4.01,524960.0,157.64111999999997,6114.851485148515,1.5635910224438903,Medium,1
1.01,Premium,D,SI1,62.0,60.0,6176,6.4,6.37,3.96,524960.0,161.44128,6114.851485148515,1.6123737373737372,Medium,1
1.04,Ideal,G,VS2,62.6,55.0,6177,6.45,6.49,4.05,525045.0,169.535025,5939.423076923077,1.597530864197531,Medium,1
1.04,Ideal,G,VS2,61.4,57.0,6177,6.5,6.53,4.0,525045.0,169.78,5939.423076923077,1.6287500000000001,Medium,1
1.04,Very Good,G,VS2,61.9,57.0,6177,6.46,6.5,4.01,525045.0,168.3799,5939.423076923077,1.6159600997506236,Medium,1
1.04,Premium,G,VS2,62.5,58.0,6177,6.43,6.47,4.03,525045.0,167.656463,5939.423076923077,1.6004962779156324,Medium,1
1.2,Very Good,H,VS1,62.0,57.0,6177,6.77,6.81,4.21,525045.0,194.096577,5147.5,1.6128266033254155,Medium,1
1.04,Very Good,G,VS2,61.8,56.0,6177,6.47,6.5,4.01,525045.0,168.64055,5939.423076923077,1.6172069825436408,Medium,1
1.0,Good,G,VS1,62.4,62.0,6177,6.33,6.37,3.96,525045.0,159.675516,6177.0,1.6035353535353534,Medium,1
1.11,Good,E,SI1,61.4,57.5,6178,6.62,6.66,4.08,525130.0,179.883936,5565.7657657657655,1.627450980392157,Medium,1
1.03,Ideal,F,SI1,62.4,57.0,6178,6.48,6.44,4.03,525130.0,168.17673600000003,5998.058252427184,1.6029776674937966,Medium,1
1.21,Ideal,H,SI1,61.1,57.0,6180,6.91,6.83,4.2,525300.0,198.22026000000002,5107.438016528926,1.6357142857142857,Medium,1
1.21,Premium,H,SI1,61.8,58.0,6180,6.83,6.79,4.21,525300.0,195.24169700000002,5107.438016528926,1.6175771971496438,Medium,1
1.05,Premium,G,VS2,62.8,58.0,6181,6.48,6.44,4.06,525385.0,169.428672,5886.666666666666,1.5911330049261088,Medium,1
1.37,Premium,F,SI2,62.8,57.0,6181,7.12,7.08,4.46,525385.0,224.826816,4511.678832116788,1.5919282511210762,Medium,1
1.05,Premium,G,VS2,61.8,58.0,6181,6.59,6.52,4.05,525385.0,174.01554,5886.666666666666,1.6185185185185185,Medium,1
1.2,Premium,F,VS2,61.4,58.0,6182,6.8,6.75,4.16,525470.0,190.944,5151.666666666667,1.6286057692307692,Medium,1
1.2,Good,H,SI1,64.2,60.0,6182,6.68,6.62,4.27,525470.0,188.826232,5151.666666666667,1.557377049180328,Medium,1
1.0,Good,F,VS2,63.2,59.0,6183,6.3,6.35,4.0,525555.0,160.01999999999998,6183.0,1.5812499999999998,Medium,1
1.0,Very Good,F,VS2,62.2,57.0,6183,6.4,6.43,3.99,525555.0,164.19648,6183.0,1.607769423558897,Medium,1
1.0,Good,H,VVS1,63.5,60.0,6183,6.3,6.36,4.02,525555.0,161.07335999999998,6183.0,1.574626865671642,Medium,1
1.0,Very Good,F,VS2,62.9,59.0,6183,6.4,6.47,4.02,525555.0,166.46015999999997,6183.0,1.6007462686567167,Medium,1
1.53,Premium,G,I1,62.8,58.0,6183,7.39,7.28,4.61,525555.0,248.01431200000002,4041.176470588235,1.5911062906724511,Heavy,1
1.23,Ideal,I,SI1,61.1,58.0,6183,6.86,6.91,4.21,525555.0,199.56494600000002,5026.829268292683,1.6353919239904988,Medium,1
1.03,Premium,E,VS2,62.5,59.0,6183,6.44,6.42,4.02,525555.0,166.20609599999997,6002.9126213592235,1.599502487562189,Medium,1
1.03,Ideal,F,SI1,62.1,56.0,6183,6.5,6.46,4.03,525555.0,169.21970000000002,6002.9126213592235,1.6079404466501241,Medium,1
1.22,Premium,H,VS2,62.7,59.0,6184,6.82,6.81,4.27,525640.0,198.316734,5068.852459016393,1.5960187353629978,Medium,1
1.54,Ideal,G,I1,61.6,55.0,6186,7.4,7.43,4.57,525810.0,251.26774,4016.8831168831166,1.6225382932166301,Heavy,1
1.26,Ideal,J,VVS1,61.4,60.0,6186,6.92,6.95,4.26,525810.0,204.88044,4909.523809523809,1.6279342723004697,Medium,1
1.0,Good,G,VS1,63.9,60.0,6187,6.3,6.35,4.04,525895.0,161.62019999999998,6187.0,1.5655940594059403,Medium,1
1.3,Premium,I,SI1,58.1,59.0,6188,7.19,7.16,4.17,525980.0,214.673268,4760.0,1.720623501199041,Medium,1
1.21,Very Good,H,VS2,62.9,57.0,6189,6.75,6.8,4.26,526065.0,195.534,5114.876033057852,1.5903755868544602,Medium,1
1.0,Good,D,VS2,60.8,61.0,6189,6.33,6.4,3.87,526065.0,156.78144,6189.0,1.644702842377261,Medium,1
1.0,Good,D,VS2,62.8,61.0,6189,6.31,6.34,3.97,526065.0,158.82143799999997,6189.0,1.5931989924433247,Medium,1
1.0,Very Good,D,VS2,61.2,61.0,6190,6.35,6.39,3.9,526150.0,158.24835,6190.0,1.633333333333333,Medium,1
1.21,Very Good,G,SI1,62.2,60.0,6190,6.71,6.73,4.18,526150.0,188.761694,5115.702479338843,1.6076555023923447,Medium,1
1.33,Ideal,J,VS1,62.4,55.0,6190,7.02,7.05,4.39,526150.0,217.26548999999994,4654.1353383458645,1.6025056947608203,Medium,1
1.21,Ideal,D,SI2,62.0,57.0,6190,6.81,6.83,4.23,526150.0,196.747029,5115.702479338843,1.6122931442080377,Medium,1
1.18,Ideal,I,VS2,62.3,55.6,6191,6.73,6.76,4.21,526235.0,191.533108,5246.610169491526,1.6021377672209027,Medium,1
1.02,Ideal,D,SI1,62.3,57.0,6191,6.41,6.44,4.0,526235.0,165.1216,6069.607843137254,1.6062500000000002,Medium,1
1.2,Very Good,I,VS1,62.6,59.0,6192,6.69,6.73,4.2,526320.0,189.09954000000002,5160.0,1.5976190476190477,Medium,1
1.0,Good,F,VS2,62.4,60.0,6192,6.27,6.29,3.92,526320.0,154.59813599999998,6192.0,1.6020408163265305,Medium,1
1.14,Very Good,F,SI1,61.3,62.0,6194,6.71,6.77,4.13,526490.0,187.612271,5433.333333333334,1.6319612590799033,Medium,1
1.21,Very Good,H,SI1,62.2,56.0,6194,6.75,6.79,4.21,526490.0,192.954825,5119.00826446281,1.6080760095011875,Medium,1
1.0,Good,H,VVS2,63.7,52.0,6194,6.41,6.36,4.07,526490.0,165.92413200000001,6194.0,1.5687960687960687,Medium,1
1.54,Premium,J,VS1,60.9,61.0,6194,7.49,7.45,4.55,526490.0,253.89227499999998,4022.077922077922,1.641758241758242,Heavy,1
1.58,Premium,F,SI2,59.1,59.0,6194,7.68,7.59,4.51,526490.0,262.893312,3920.253164556962,1.6929046563192904,Heavy,1
1.02,Very Good,F,SI1,60.2,58.0,6195,6.49,6.54,3.92,526575.0,166.382832,6073.529411764705,1.6619897959183676,Medium,1
1.01,Very Good,F,VS2,59.1,59.0,6196,6.58,6.65,3.91,526660.0,171.08987000000002,6134.653465346534,1.6918158567774937,Medium,1
1.0,Very Good,D,SI1,60.3,58.0,6196,6.44,6.49,3.9,526660.0,163.00284000000002,6196.0,1.6576923076923078,Medium,1
1.05,Ideal,D,SI1,60.7,60.0,6196,6.52,6.56,3.97,526660.0,169.801664,5900.952380952381,1.6473551637279593,Medium,1
1.19,Premium,H,VS2,62.6,56.0,6198,6.81,6.76,4.25,526830.0,195.6513,5208.403361344538,1.596470588235294,Medium,1
1.2,Very Good,H,SI1,62.4,60.0,6199,6.75,6.71,4.2,526915.0,190.2285,5165.833333333334,1.6023809523809525,Medium,1
1.23,Premium,I,VS2,59.3,59.0,6199,7.13,6.97,4.18,526915.0,207.72969799999996,5039.837398373984,1.686602870813397,Medium,1
1.23,Ideal,H,SI2,60.6,56.0,6199,6.94,6.92,4.2,526915.0,201.70416,5039.837398373984,1.65,Medium,1
1.35,Ideal,I,SI1,62.3,57.0,6199,7.11,7.05,4.41,526915.0,221.053455,4591.851851851851,1.6054421768707483,Medium,1
1.23,Ideal,H,SI2,62.1,56.0,6199,6.85,6.82,4.24,526915.0,198.08008,5039.837398373984,1.6120283018867925,Medium,1
1.07,Ideal,F,SI1,62.3,56.0,6200,6.51,6.53,4.06,527000.0,172.591818,5794.392523364486,1.6059113300492611,Medium,1
1.22,Ideal,J,VS1,61.4,58.0,6201,6.85,6.87,4.21,527085.0,198.120495,5082.786885245901,1.6294536817102137,Medium,1
1.54,Premium,J,VS2,59.3,59.0,6202,7.54,7.5,4.46,527170.0,252.213,4027.272727272727,1.6860986547085202,Heavy,1
1.16,Premium,H,VS2,62.3,56.0,6202,6.77,6.68,4.19,527170.0,189.486884,5346.551724137931,1.605011933174224,Medium,1
1.33,Very Good,I,VS2,62.5,61.0,6203,6.99,7.02,4.38,527255.0,214.925724,4663.90977443609,1.5993150684931507,Medium,1
1.08,Ideal,D,SI1,61.3,56.0,6203,6.63,6.72,4.09,527255.0,182.22422399999996,5743.518518518518,1.6320293398533008,Medium,1
1.01,Very Good,G,VS2,62.5,59.0,6204,6.34,6.37,3.97,527340.0,160.33162600000003,6142.574257425743,1.6007556675062973,Medium,1
1.01,Very Good,F,VS2,59.2,60.0,6204,6.46,6.51,3.84,527340.0,161.489664,6142.574257425743,1.6888020833333333,Medium,1
1.02,Very Good,H,VS1,61.4,56.5,6204,6.44,6.47,3.97,527340.0,165.41719600000002,6082.35294117647,1.6259445843828715,Medium,1
1.04,Premium,G,VS2,62.3,54.0,6206,6.55,6.49,4.06,527510.0,172.58857,5967.307692307692,1.6059113300492611,Medium,1
1.23,Premium,I,VS2,61.1,60.0,6206,6.95,6.89,4.23,527510.0,202.55566500000003,5045.528455284553,1.635933806146572,Medium,1
1.0,Very Good,E,SI1,61.4,60.0,6207,6.4,6.44,3.94,527595.0,162.39104000000003,6207.0,1.6294416243654823,Medium,1
1.0,Very Good,G,VS2,62.7,59.0,6208,6.32,6.38,3.98,527680.0,160.479968,6208.0,1.5954773869346732,Medium,1
0.9,Very Good,D,VS1,62.2,58.0,6208,6.14,6.18,3.83,527680.0,145.330116,6897.777777777777,1.608355091383812,Medium,1
1.0,Premium,G,VVS2,62.8,57.0,6209,6.38,6.29,3.98,527765.0,159.718196,6209.0,1.5917085427135678,Medium,1
1.12,Ideal,G,VS2,62.1,57.0,6209,6.6,6.63,4.11,527765.0,179.84538,5543.749999999999,1.6094890510948905,Medium,1
1.0,Ideal,F,VS2,62.8,57.0,6209,6.35,6.3,3.97,527765.0,158.81985,6209.0,1.5931989924433247,Medium,1
1.0,Premium,F,VS2,61.6,55.0,6209,6.42,6.34,3.93,527765.0,159.96200399999998,6209.0,1.623409669211196,Medium,1
1.1,Premium,D,VS2,60.0,59.0,6209,6.67,6.6,3.98,527765.0,175.20756,5644.545454545454,1.6670854271356783,Medium,1
1.0,Good,F,VS2,63.8,58.0,6209,6.32,6.28,4.02,527765.0,159.55219200000002,6209.0,1.567164179104478,Medium,1
1.0,Premium,G,VS2,62.9,56.0,6209,6.42,6.34,4.01,527765.0,163.21822799999998,6209.0,1.5910224438902745,Medium,1
1.2,Good,F,VS1,64.0,56.0,6209,6.63,6.58,4.23,527765.0,184.53544200000002,5174.166666666667,1.561465721040189,Medium,1
1.5,Fair,I,SI2,68.1,59.0,6209,7.12,6.84,4.75,527765.0,231.3288,4139.333333333333,1.4694736842105265,Medium,1
1.2,Ideal,I,VS1,62.1,56.5,6210,6.8,6.84,4.23,527850.0,196.74576000000002,5175.0,1.6122931442080377,Medium,1
1.28,Premium,H,SI1,62.1,62.0,6210,6.88,6.83,4.26,527850.0,200.179104,4851.5625,1.609154929577465,Medium,1
1.0,Fair,F,VS2,64.9,52.0,6210,6.24,6.33,4.08,527850.0,161.15673600000002,6210.0,1.5404411764705883,Medium,1
1.06,Very Good,G,VS2,60.1,58.0,6212,6.64,6.67,4.0,528020.0,177.15519999999998,5860.377358490566,1.6637499999999998,Medium,1
1.06,Good,G,VS2,63.1,59.0,6212,6.45,6.48,4.08,528020.0,170.52768000000003,5860.377358490566,1.5845588235294117,Medium,1
1.01,Very Good,G,VS2,60.2,58.0,6213,6.51,6.54,3.93,528105.0,167.321322,6151.485148514851,1.6603053435114503,Medium,1
1.07,Premium,G,VS2,61.9,60.0,6213,6.55,6.48,4.03,528105.0,171.04932000000002,5806.542056074766,1.6166253101736974,Medium,1
1.03,Premium,G,VS2,62.3,59.0,6214,6.38,6.42,3.99,528190.0,163.428804,6033.009708737864,1.6040100250626566,Medium,1
1.52,Premium,I,SI2,62.2,59.0,6214,7.36,7.27,4.56,528190.0,243.99283199999996,4088.157894736842,1.6041666666666667,Heavy,1
1.24,Premium,H,SI1,60.1,58.0,6215,7.04,7.01,4.22,528275.0,208.25868799999998,5012.096774193548,1.6646919431279623,Medium,1
1.02,Premium,E,VS2,61.9,62.0,6215,6.47,6.38,3.98,528275.0,164.288828,6093.137254901961,1.614321608040201,Medium,1
1.51,Good,J,SI2,58.1,64.0,6215,7.57,7.53,4.39,528275.0,250.23921900000002,4115.894039735099,1.719817767653759,Heavy,1
1.48,Premium,H,SI2,59.7,59.0,6216,7.46,7.42,4.44,528360.0,245.76820800000002,4200.0,1.6756756756756754,Medium,1
1.0,Premium,G,VS2,61.6,54.0,6216,6.49,6.46,3.99,528360.0,167.28234600000002,6216.0,1.6228070175438594,Medium,1
1.22,Premium,I,VS2,60.3,59.0,6217,6.93,6.87,4.16,528445.0,198.053856,5095.901639344263,1.6586538461538463,Medium,1
1.06,Very Good,G,VS2,59.4,59.0,6217,6.68,6.63,3.95,528445.0,174.93918,5865.094339622641,1.6848101265822781,Medium,1
1.03,Very Good,F,VS2,63.4,62.0,6218,6.34,6.31,4.01,528530.0,160.42165399999996,6036.893203883495,1.5773067331670823,Medium,1
1.02,Premium,F,VS2,62.7,59.0,6220,6.41,6.44,4.03,528700.0,166.360012,6098.0392156862745,1.5942928039702233,Medium,1
1.01,Premium,G,VS1,62.7,58.0,6221,6.31,6.36,3.97,528785.0,159.322452,6159.40594059406,1.5957178841309823,Medium,1
1.01,Very Good,E,VS2,62.9,58.0,6221,6.37,6.47,4.04,528785.0,166.50415600000002,6159.40594059406,1.5891089108910892,Medium,1
1.01,Very Good,E,VS2,63.0,60.0,6221,6.32,6.35,3.99,528785.0,160.12668,6159.40594059406,1.5877192982456139,Medium,1
1.01,Good,E,VS2,62.5,58.0,6221,6.32,6.36,3.96,528785.0,159.17299200000002,6159.40594059406,1.601010101010101,Medium,1
1.01,Good,E,VS2,63.7,56.0,6221,6.27,6.29,4.0,528785.0,157.7532,6159.40594059406,1.5699999999999998,Medium,1
1.01,Good,E,VS2,62.6,58.0,6221,6.33,6.36,3.97,528785.0,159.827436,6159.40594059406,1.59823677581864,Medium,1
1.32,Fair,E,SI2,65.2,58.0,6221,6.86,6.79,4.45,528785.0,207.27833,4712.878787878788,1.5337078651685394,Medium,1
1.12,Ideal,H,VS2,61.8,55.0,6222,6.7,6.64,4.12,528870.0,183.29056,5555.357142857142,1.6189320388349513,Medium,1
1.0,Good,F,VS2,63.1,57.0,6223,6.32,6.36,4.0,528955.0,160.78080000000003,6223.0,1.585,Medium,1
1.62,Good,J,SI2,64.2,62.0,6223,7.41,7.33,4.73,528955.0,256.91136900000004,3841.358024691358,1.5581395348837208,Heavy,1
1.21,Premium,E,SI2,61.5,58.0,6223,6.86,6.79,4.2,528955.0,195.63348000000002,5142.975206611571,1.625,Medium,1
1.47,Premium,J,SI2,60.0,58.0,6223,7.36,7.31,4.4,528955.0,236.72704000000002,4233.333333333333,1.6670454545454545,Medium,1
1.05,Very Good,E,SI1,59.7,57.0,6224,6.63,6.71,3.98,529040.0,177.059454,5927.619047619048,1.6758793969849246,Medium,1
1.5,Premium,G,SI2,61.8,60.0,6224,7.28,7.25,4.49,529040.0,236.9822,4149.333333333333,1.6180400890868598,Medium,1
1.5,Good,I,SI1,63.8,56.0,6224,7.26,7.15,4.59,529040.0,238.26230999999999,4149.333333333333,1.5697167755991286,Medium,1
1.09,Ideal,I,VS1,61.8,55.0,6225,6.59,6.62,4.08,529125.0,177.99326399999998,5711.0091743119265,1.6188725490196079,Medium,1
1.09,Ideal,I,VS1,61.4,56.0,6225,6.61,6.66,4.07,529125.0,179.17198200000004,5711.0091743119265,1.63022113022113,Medium,1
1.31,Ideal,H,SI2,62.3,56.0,6225,7.0,6.97,4.35,529125.0,212.23649999999998,4751.908396946565,1.6057471264367815,Medium,1
1.21,Very Good,H,SI1,60.2,58.0,6229,6.89,6.93,4.16,529465.0,198.63043199999998,5147.933884297521,1.6610576923076923,Medium,1
1.03,Premium,G,VS2,58.9,59.0,6229,6.65,6.59,3.9,529465.0,170.91165,6047.57281553398,1.6974358974358974,Medium,1
1.03,Ideal,G,VS2,60.3,56.0,6229,6.59,6.55,3.96,529465.0,170.93141999999997,6047.57281553398,1.6590909090909092,Medium,1
1.25,Premium,H,SI2,62.2,60.0,6230,6.83,6.8,4.24,529550.0,196.92256000000003,4984.0,1.6073113207547167,Medium,1
0.9,Ideal,E,VS1,61.7,56.0,6230,6.19,6.22,3.83,529550.0,147.461894,6922.222222222222,1.6201044386422976,Medium,1
1.24,Ideal,I,SI1,62.0,58.0,6232,6.83,6.88,4.25,529720.0,199.7092,5025.806451612903,1.6129411764705883,Medium,1
1.07,Premium,E,VS2,62.5,57.0,6232,6.6,6.53,4.1,529720.0,176.7018,5824.2990654205605,1.601219512195122,Medium,1
1.04,Very Good,G,VS2,63.4,55.0,6232,6.48,6.42,4.09,529720.0,170.15054400000002,5992.307692307692,1.5770171149144254,Medium,1
1.23,Very Good,F,SI2,61.9,58.0,6233,6.77,6.79,4.2,529805.0,193.06686,5067.479674796748,1.614285714285714,Medium,1
1.0,Ideal,G,VS2,58.9,60.0,6235,6.53,6.58,3.86,529975.0,165.85416400000003,6235.0,1.6981865284974094,Medium,1
1.31,Premium,J,VS1,62.3,56.0,6236,7.06,6.99,4.38,530060.0,216.15037199999998,4760.30534351145,1.603881278538813,Medium,1
1.31,Premium,H,SI2,61.4,60.0,6236,7.04,7.0,4.31,530060.0,212.39679999999998,4760.30534351145,1.62877030162413,Medium,1
1.28,Premium,G,SI2,62.6,58.0,6236,6.94,6.89,4.33,530060.0,207.04587800000002,4871.875,1.5969976905311778,Medium,1
1.34,Very Good,J,VS1,61.7,59.0,6237,7.03,7.14,4.37,530145.0,219.348654,4654.477611940299,1.6212814645308924,Medium,1
1.34,Very Good,J,VS1,63.0,57.0,6237,6.9,7.01,4.38,530145.0,211.85622,4654.477611940299,1.5878995433789955,Medium,1
1.22,Premium,E,SI2,61.5,58.0,6237,6.81,6.85,4.2,530145.0,195.92369999999997,5112.295081967213,1.6261904761904762,Medium,1
0.9,Ideal,G,VVS1,62.9,56.0,6237,6.11,6.19,3.87,530145.0,146.366883,6930.0,1.5891472868217056,Medium,1
1.53,Good,I,SI2,63.9,59.0,6238,7.31,7.17,4.64,530230.0,243.19492799999995,4077.124183006536,1.560344827586207,Heavy,1
1.02,Premium,G,VS1,62.0,59.0,6238,6.45,6.39,3.98,530230.0,164.03769,6115.686274509804,1.6130653266331658,Medium,1
1.02,Premium,F,VS1,61.4,59.0,6238,6.48,6.42,3.96,530230.0,164.74233600000002,6115.686274509804,1.628787878787879,Medium,1
1.01,Very Good,G,VS1,60.5,60.0,6239,6.44,6.52,3.92,530315.0,164.596096,6177.227722772277,1.653061224489796,Medium,1
1.01,Very Good,G,VS1,60.7,63.0,6239,6.38,6.4,3.88,530315.0,158.42816,6177.227722772277,1.6469072164948455,Medium,1
1.01,Premium,G,VS1,59.9,59.0,6239,6.48,6.51,3.89,530315.0,164.09887200000003,6177.227722772277,1.6696658097686374,Medium,1
1.01,Ideal,G,VS2,61.6,56.0,6239,6.43,6.46,3.97,530315.0,164.905066,6177.227722772277,1.6234256926952142,Medium,1
1.26,Ideal,H,SI2,62.0,55.0,6239,6.9,6.97,4.29,530315.0,206.31897,4951.587301587301,1.6165501165501166,Medium,1
1.06,Ideal,G,VS2,61.8,57.0,6240,6.56,6.52,4.04,530400.0,172.79564799999997,5886.792452830188,1.6188118811881187,Medium,1
1.03,Ideal,G,VS2,61.8,56.0,6241,6.54,6.48,4.02,530485.0,170.364384,6059.223300970873,1.619402985074627,Medium,1
1.11,Ideal,D,SI2,61.3,56.0,6241,6.74,6.68,4.12,530485.0,185.495584,5622.522522522522,1.6286407766990292,Medium,1
1.01,Premium,F,VS2,62.3,58.0,6244,6.34,6.4,3.97,530740.0,161.08672,6182.178217821782,1.6045340050377834,Medium,1
1.01,Premium,F,VS2,61.5,58.0,6244,6.41,6.46,3.96,530740.0,163.978056,6182.178217821782,1.6250000000000002,Medium,1
1.0,Very Good,E,VS2,62.9,59.0,6245,6.27,6.38,3.98,530825.0,159.21034799999998,6245.0,1.5891959798994972,Medium,1
1.56,Good,I,SI1,64.0,57.0,6246,7.32,7.28,4.67,530910.0,248.86243200000004,4003.846153846154,1.5631691648822272,Heavy,1
1.56,Good,G,SI2,63.7,54.0,6246,7.35,7.31,4.67,530910.0,250.912095,4003.846153846154,1.569593147751606,Heavy,1
1.3,Premium,I,VS2,62.7,58.0,6246,6.97,6.9,4.35,530910.0,209.20455,4804.615384615385,1.5942528735632187,Medium,1
1.01,Good,G,VS1,58.7,62.0,6247,6.49,6.55,3.83,530995.0,162.811385,6185.148514851485,1.702349869451697,Medium,1
1.0,Good,E,VS2,62.4,58.0,6248,6.33,6.4,3.97,531080.0,160.83264,6248.0,1.6032745591939546,Medium,1
1.21,Very Good,D,SI2,62.4,58.0,6248,6.77,6.83,4.24,531080.0,196.053784,5163.636363636364,1.6037735849056602,Medium,1
1.0,Very Good,H,VVS2,62.6,56.0,6249,6.36,6.39,3.99,531165.0,162.15519600000002,6249.0,1.5977443609022555,Medium,1
1.06,Ideal,F,SI1,61.7,55.1,6249,6.56,6.58,4.06,531165.0,175.24908799999997,5895.2830188679245,1.618226600985222,Medium,1
1.03,Ideal,D,SI1,61.9,57.0,6250,6.52,6.54,4.04,531250.0,172.268832,6067.961165048543,1.6163366336633662,Medium,1
1.01,Good,E,VS2,60.8,63.0,6250,6.44,6.46,3.92,531250.0,163.081408,6188.118811881188,1.6454081632653061,Medium,1
1.22,Good,H,SI2,63.5,56.0,6250,6.84,6.77,4.32,531250.0,200.045376,5122.950819672131,1.5752314814814814,Medium,1
1.2,Premium,H,VS2,60.7,60.0,6250,6.88,6.82,4.16,531250.0,195.193856,5208.333333333334,1.6466346153846152,Medium,1
1.2,Premium,F,SI1,62.4,58.0,6250,6.81,6.75,4.23,531250.0,194.442525,5208.333333333334,1.6028368794326238,Medium,1
1.2,Premium,I,VS1,59.9,59.0,6250,6.96,6.87,4.14,531250.0,197.95492799999997,5208.333333333334,1.6702898550724639,Medium,1
1.0,Good,D,VS1,64.0,58.0,6250,6.27,6.21,3.99,531250.0,155.357433,6250.0,1.5639097744360901,Medium,1
1.5,Premium,H,SI2,61.1,59.0,6250,7.41,7.35,4.51,531250.0,245.63038499999996,4166.666666666667,1.6363636363636365,Medium,1
1.5,Fair,H,SI2,64.6,59.0,6250,7.2,7.11,4.62,531250.0,236.50704000000002,4166.666666666667,1.5487012987012987,Medium,1
1.39,Ideal,J,VS2,60.3,57.0,6252,7.24,7.26,4.37,531420.0,229.697688,4497.841726618705,1.6590389016018305,Medium,1
1.35,Premium,J,VS2,60.5,56.0,6254,7.19,7.12,4.33,531590.0,221.66482400000004,4632.592592592592,1.6524249422632795,Medium,1
1.24,Ideal,H,SI1,61.3,57.0,6254,6.95,6.89,4.24,531590.0,203.03452000000001,5043.548387096775,1.6320754716981132,Medium,1
